"","genes","TS","SD"
"686","HSPA1A",0.713737108215842,1.4849651899451
"687","SOX1",0.712308478456878,1.17938163885652
"688","ATP6V1B1",0.711565658571606,1.13460059677564
"689","CLDN4",0.711052480479419,0.949701864547832
"690","PTH1R",0.710678483030775,1.75696764238504
"691","VEGFA",0.70953715555542,1.33827001978299
"692","CES1",0.709156212834618,1.15695196925302
"693","SCD",0.708897407326539,1.08868640377592
"694","FOXC1",0.708368813451452,1.17873222930287
"695","YAP1",0.708122189247855,1.09160705791255
"696","RET",0.707499945639943,1.47799441719908
"697","CEBPA",0.706519110168518,1.65902231452612
"698","GSTK1",0.704041277103579,1.62051336613068
"699","SMAD4",0.703502476880375,1.43401924031075
"700","PFKFB4",0.70174767543384,1.17481221257042
"701","FOXO1",0.70081083591592,1.00047066785836
"702","EPHB2",0.700435580387939,1.2922132905391
"703","MGAM",0.700046455040696,1.24120070800336
"704","TRIM5",0.699886991093963,1.00104128742567
"705","MAP1LC3A",0.696702974529376,0.899417712465001
"706","OAS1",0.694160029166901,1.1902175477402
"707","MMP14",0.692750947899498,0.909310056783233
"708","KLRK1",0.691052666693007,1.35066011937174
"709","PLVAP",0.689388909189252,1.60185730228835
"710","PINK1",0.689192594856618,1.30001300634217
"711","SLC7A7",0.686212582042234,0.852115129889383
"712","ALDH1B1",0.685866256442352,1.60126726086549
"713","OSM",0.685821624845879,1.30490456567164
"714","CCNA2",0.684042880174133,1.19768048987084
"715","PTPRF",0.68184959448673,1.2799997832882
"716","SOCS2",0.680770489011822,0.909489302931873
"717","GREB1",0.680493961022234,1.00077190117752
"718","EFNA1",0.678262783237857,1.40850889640461
"719","RXRG",0.676624646322145,1.08310458536084
"720","TGFB1",0.675216025431986,1.29248528955455
"721","CRKL",0.673864745061406,0.861558417489225
"722","MSX2",0.673120251993165,1.62334702000227
"723","AKT1",0.671166106059067,1.10066592744604
"724","CYP7B1",0.670608989582518,1.35196103042647
"725","HNMT",0.670528380765735,1.28643442572408
"726","NCAM1",0.665800970028426,1.14138278327116
"727","PRKDC",0.665241700934595,1.56389595028873
"728","NAT2",0.664969032912549,0.781533851177442
"729","ZNF202",0.664206428898019,1.25716743531306
"730","TIE1",0.663418684334009,1.48983766788468
"731","SLC2A4",0.660101034477932,1.73274800458625
"732","OAS2",0.659594449175508,1.54543861966968
"733","TP53I3",0.658977323687436,1.61403255324295
"734","PTGS1",0.658748181682195,1.47457044168116
"735","RXRA",0.65852983602212,0.940170980973201
"736","IL6ST",0.653613333329791,0.896385788731434
"737","PAX5",0.651746029524702,2.27616962052748
"738","SCARB1",0.650784666286048,1.53645086029689
"739","ERG",0.649604033478465,1.11890051916497
"740","MTA1",0.649041609040051,1.15712527632055
"741","MEN1",0.648255535300639,1.06661049549229
"742","ACVRL1",0.647142683909541,1.34231260061646
"743","ELAVL1",0.646350357552371,1.06014143465247
"744","RARG",0.646165407529226,1.69969748979705
"745","DISC1",0.644386072057324,1.34834627925869
"746","SLC15A1",0.643133183806825,1.29870834931178
"747","JUP",0.64305794996855,1.09198468630464
"748","PCK2",0.639846215969763,1.07011812297172
"749","DNMT3B",0.639837569682904,1.14430129487899
"750","KYAT1",0.638382820037079,1.28992683059144
"751","GATA2",0.634034677350504,1.7639970784191
"752","KCNH2",0.633438984097161,1.37968050358969
"753","FHL2",0.631472748284899,1.23712059870624
"754","KRT7",0.630957796754146,1.53259717351564
"755","IL15",0.63055572785154,0.852133831431528
"756","SLC25A13",0.630223790373807,1.38060439394891
"757","LOX",0.628162862312262,1.20186066637532
"758","FGF8",0.62679781390274,1.24403981787282
"759","GJA5",0.626432522043589,1.29339773129496
"760","NOS1",0.6262270180281,1.27239759568214
"761","CCND1",0.625845358491052,1.27340595664427
"762","EPHX2",0.624764280087884,1.21499146591338
"763","ALDH3B2",0.624466620518599,1.74559063982225
"764","CYP1A1",0.622400614865363,1.70214115627162
"765","SULT1A2",0.622275793192882,1.42895943817116
"766","ACE",0.622142623704344,1.60670539632614
"767","HES1",0.620578800155282,1.4413599526273
"768","SGK1",0.620481866727173,1.45517550817877
"769","SLC19A3",0.620319027205361,1.19327306804242
"770","MAPK3",0.61999476153593,0.834699596838801
"771","BAK1",0.619355374108788,1.36467939221761
"772","USF1",0.61864354060606,1.32177093378683
"773","TP63",0.618359630461495,1.29431740433751
"774","STAT5A",0.615460199318893,1.64948024830086
"775","TNFSF13",0.614257620320322,1.12060468933019
"776","ICAM1",0.613294999867931,1.34711241979169
"777","CGA",0.612999156928115,1.5803450871182
"778","WNT2B",0.612144362119346,1.23627423992657
"779","BNIP3",0.610623213926588,1.16923169763857
"780","TOP2A",0.60926244925551,1.3484257306034
"781","TNFRSF6B",0.608628319645772,1.13413833389242
"782","HPGD",0.60779716030075,1.81837120833946
"783","IL1R1",0.606523991606019,1.19408804927596
"784","ANPEP",0.605561068550763,1.39643558652408
"785","TSPAN13",0.603592429053787,1.24746530625886
"786","MAN1A1",0.603151679593119,1.46145556393174
"787","NPPB",0.601662507215021,1.40045066892164
"788","RUNX1",0.600511132195475,1.3671587934825
"789","SST",0.598830647358117,1.05123524426479
"790","AGT",0.598225527527856,1.33653613479079
"791","PDPN",0.597100321959404,1.51167811821856
"792","KRT19",0.596273414956747,1.08648733476429
"793","DDB2",0.593584064206625,1.28751734880343
"794","CYP27A1",0.59335171478814,1.35179182625966
"795","CREM",0.590318127364112,1.02789109646058
"796","HK2",0.590087151826063,1.19770796356277
"797","HSF1",0.587969562900731,1.16009781345017
"798","CHEK1",0.582227182801703,1.52480930385434
"799","NANOG",0.579841209018998,1.18075479408921
"800","FURIN",0.57884287596207,1.29485377474998
"801","ADAMTS4",0.57793742770488,1.54001299637094
"802","CTSK",0.57676169449457,1.13378203929985
"803","IFNGR1",0.575986619956126,0.832190605225248
"804","UCP2",0.575247466784151,1.15631016007535
"805","NGF",0.574851988463278,1.34743932214108
"806","CXCL13",0.573608469241841,1.5819917515603
"807","DIAPH1",0.572696653649259,1.08584604802876
"808","FOS",0.570881401164823,2.05607065572167
"809","PANK2",0.570033525348089,1.03759352127431
"810","SEMA3F",0.569663024090666,1.25461802717193
"811","NFE2L2",0.567907224468227,1.23822360504333
"812","CCN1",0.567872207329379,1.44708034474838
"813","NOS3",0.56565947226685,1.68880018434491
"814","PPARG",0.565488741739408,1.34504518435502
"815","APOE",0.565249655850509,0.826760317560565
"816","AURKA",0.564492771710884,1.75354240343225
"817","CYP2C9",0.561962207365586,1.25334194205729
"818","SHMT2",0.561781859400549,1.33973861744937
"819","MYLIP",0.561562529648672,1.25236399009231
"820","BLNK",0.560667586168237,1.4421638903388
"821","HAND1",0.560082698016846,1.61888204200713
"822","PER2",0.560040716712567,0.989662132715311
"823","TUBB3",0.55950972779721,1.53688099941216
"824","ABCB11",0.557809759269482,1.15178699691098
"825","MKI67",0.554692300960827,1.42497515502241
"826","TMPRSS2",0.551761996190128,1.15345280423908
"827","RXRB",0.550239152394715,1.2986141278719
"828","ALOX5",0.548127870025888,1.0486350736634
"829","CDC25C",0.543832881680443,1.35036032016171
"830","BMF",0.537658897263539,1.33791066273567
"831","WSB1",0.532877611721855,0.997718085906798
"832","RFX2",0.532810908558513,1.47624949151005
"833","EPAS1",0.531620033002247,1.30067532900112
"834","IKBKG",0.531229645125218,1.54004032218923
